name,description,price,stock
Wireless Mouse,Ergonomic wireless mouse with USB receiver,19.99,150
Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,79.99,85
Bluetooth Headphones,Over-ear noise-cancelling Bluetooth headphones,129.99,60
Smartphone Stand,Adjustable aluminum smartphone stand for desk,14.99,200
4K Monitor,27-inch 4K UHD monitor with IPS panel,349.99,35
Gaming Chair,Ergonomic gaming chair with lumbar support,249.99,40
USB-C Hub,7-in-1 USB-C hub with HDMI and Ethernet,39.99,120
Portable SSD,1TB portable SSD with USB 3.2 interface,109.99,75
Fitness Tracker,Waterproof fitness tracker with heart rate monitor,59.99,95
Smartwatch,Smartwatch with GPS and fitness tracking,199.99,50
Desk Lamp,LED desk lamp with adjustable brightness,24.99,180
Laptop Backpack,Water-resistant laptop backpack with USB charging port,49.99,140
Wireless Charger,Fast wireless charger for smartphones,29.99,160
External Hard Drive,2TB external hard drive with USB 3.0,89.99,70
Action Camera,Waterproof 4K action camera with wide-angle lens,159.99,30
